Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
-0.794,1.187,28.423,-0.835,0.038,-0.001,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.794,1.187,28.423,-0.835,0.038,-0.001,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.794,1.187,28.423,-0.835,0.038,-0.001,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.716,1.147,28.354,-0.837,0.043,0.001,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.745,1.285,28.443,-0.830,0.051,0.004,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.765,1.245,28.345,-0.833,0.043,-0.002,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.775,1.294,28.325,-0.828,0.043,0.002,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.775,1.265,28.256,-0.829,0.044,-0.006,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.853,1.196,28.452,-0.833,0.045,-0.001,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.618,1.167,28.433,-0.839,0.039,0.007,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.628,1.324,28.590,-0.820,0.038,-0.006,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.667,1.177,28.207,-0.826,0.035,0.001,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.775,1.059,28.296,-0.845,0.049,-0.000,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
0.951,2.128,25.138,-0.833,0.091,0.168,    ,848.721,-64.802,296.057,179.956,-1.743,-1.295
-0.500,1.030,25.844,-0.808,0.084,0.012,    ,848.719,-64.802,296.054,-179.923,-1.740,-1.299
-0.765,1.510,25.491,-0.820,0.038,0.060,    ,848.715,-64.802,296.049,-179.636,-1.733,-1.308
-0.000,4.030,25.334,-0.768,-0.080,0.191,    ,848.715,-64.802,296.048,-178.421,-1.705,-1.344
-0.137,3.334,26.158,-0.859,-0.030,0.060,    ,848.721,-64.802,296.056,-178.028,-1.697,-1.356
-0.147,3.226,26.697,-0.872,-0.014,0.068,    ,848.721,-64.802,296.056,-177.999,-1.696,-1.357
-0.128,3.491,26.589,-0.883,-0.018,0.075,    ,848.721,-64.802,296.056,-177.999,-1.696,-1.357
-0.324,3.776,26.060,-0.880,-0.012,0.080,    ,848.721,-64.802,296.056,-178.020,-1.696,-1.356
-0.745,3.893,26.275,-0.939,0.015,-0.026,    ,848.719,-64.802,296.053,-178.167,-1.699,-1.352
-0.402,2.765,24.765,-0.860,0.010,0.083,    ,848.713,-64.802,296.046,-178.939,-1.716,-1.329
-0.343,1.530,26.619,-0.884,0.089,0.089,    ,848.713,-64.802,296.046,179.831,-1.744,-1.291
-0.824,0.716,27.540,-0.876,0.088,0.088,    ,848.714,-64.802,296.046,179.382,-1.754,-1.278
-1.353,0.127,25.903,-0.796,0.141,-0.038,    ,848.713,-64.802,296.046,178.434,-1.775,-1.249
-0.824,-1.657,26.697,-0.761,0.142,0.024,    ,848.713,-64.802,296.046,177.569,-1.794,-1.222
-1.373,-2.471,27.805,-0.714,0.112,0.117,    ,848.713,-64.802,296.046,176.688,-1.813,-1.194
-1.344,-3.226,26.648,-0.737,0.098,0.191,    ,848.713,-64.803,296.046,175.740,-1.832,-1.164
-1.373,-4.266,26.638,-0.634,0.122,0.107,    ,848.714,-64.803,296.046,174.825,-1.850,-1.134
-1.412,-5.600,27.334,-0.667,0.158,0.171,    ,848.714,-64.803,296.046,173.977,-1.867,-1.107
-1.510,-6.825,27.413,-0.617,0.077,0.272,    ,848.714,-64.803,296.046,173.162,-1.882,-1.080
-1.187,-7.885,25.903,-0.512,0.115,0.231,    ,848.714,-64.803,296.046,172.381,-1.897,-1.054
-1.049,-7.904,26.069,-0.486,0.044,0.298,    ,848.713,-64.803,296.046,171.483,-1.913,-1.024
-1.599,-9.993,27.089,-0.425,0.123,0.222,    ,848.713,-64.803,296.046,170.551,-1.930,-0.993
-1.363,-10.130,25.040,-0.380,0.008,0.317,    ,848.713,-64.804,296.046,169.587,-1.946,-0.961
-1.481,-11.474,25.079,-0.310,0.057,0.288,    ,848.713,-64.804,296.046,168.688,-1.961,-0.930
-1.422,-11.660,25.442,-0.284,0.032,0.349,    ,848.714,-64.804,296.046,167.774,-1.976,-0.899
-1.294,-13.092,24.952,-0.201,0.046,0.317,    ,848.714,-64.804,296.046,166.859,-1.990,-0.867
-0.667,-13.651,24.128,-0.276,-0.075,0.682,    ,848.714,-64.804,296.046,166.110,-2.001,-0.841
-1.187,-14.857,25.324,-0.174,0.026,0.449,    ,848.714,-64.804,296.046,165.179,-2.014,-0.808
-1.844,-15.818,24.932,-0.099,-0.001,0.467,    ,848.714,-64.804,296.046,164.264,-2.027,-0.776
-1.481,-16.446,24.138,-0.035,0.000,0.419,    ,848.714,-64.804,296.046,163.333,-2.039,-0.743
-0.824,-17.711,23.775,0.006,-0.027,0.592,    ,848.714,-64.805,296.046,162.900,-2.045,-0.727
-0.990,-18.937,24.893,-0.061,0.021,0.627,    ,848.714,-64.805,296.046,161.952,-2.056,-0.693
-1.540,-19.584,24.059,0.128,-0.020,0.519,    ,848.714,-64.805,296.046,161.137,-2.066,-0.664
-0.922,-20.437,22.480,0.192,-0.016,0.538,    ,848.714,-64.805,296.046,160.205,-2.077,-0.630
-1.059,-21.104,23.647,0.158,-0.074,0.682,    ,848.714,-64.805,296.046,158.908,-2.090,-0.583
-1.344,-22.036,23.549,0.267,-0.071,0.663,    ,848.714,-64.805,296.046,158.176,-2.098,-0.556
-0.539,-23.811,22.804,0.282,-0.046,0.803,    ,848.714,-64.805,296.046,157.244,-2.106,-0.522
-1.245,-23.791,20.862,0.421,-0.135,0.740,    ,848.714,-64.805,296.047,156.795,-2.110,-0.506
-1.991,-24.987,22.922,0.419,-0.011,0.613,    ,848.714,-64.806,296.047,155.481,-2.121,-0.457
-0.608,-26.037,22.049,0.509,-0.013,0.753,    ,848.714,-64.806,296.047,154.599,-2.128,-0.425
-1.667,-26.782,20.823,0.534,-0.096,0.777,    ,848.714,-64.806,296.047,154.200,-2.131,-0.410
-0.981,-26.802,20.588,0.610,-0.187,0.853,    ,848.714,-64.806,296.047,153.268,-2.138,-0.375
-2.030,-28.027,20.656,0.744,-0.024,0.754,    ,848.714,-64.806,296.047,152.353,-2.143,-0.341
-0.961,-29.165,20.225,0.808,-0.092,0.829,    ,848.714,-64.806,296.047,151.538,-2.148,-0.310
-1.599,-30.754,19.754,0.765,-0.124,0.851,    ,848.714,-64.806,296.047,150.690,-2.152,-0.278
-1.393,-30.244,19.146,0.853,-0.156,0.940,    ,848.714,-64.806,296.047,149.791,-2.156,-0.245
-2.050,-31.362,20.499,0.942,-0.105,0.771,    ,848.715,-64.807,296.047,148.959,-2.160,-0.213
-1.755,-32.695,19.332,0.860,-0.059,0.877,    ,848.715,-64.807,296.047,148.028,-2.163,-0.178
-2.099,-32.784,17.410,1.123,-0.175,0.937,    ,848.715,-64.807,296.047,147.096,-2.165,-0.143
-1.569,-33.019,16.851,1.251,-0.279,1.008,    ,848.715,-64.807,296.047,146.198,-2.167,-0.109
-1.451,-34.480,18.558,1.112,-0.123,0.974,    ,848.715,-64.807,296.047,145.283,-2.169,-0.074
-2.481,-35.412,17.234,1.227,-0.217,0.908,    ,848.715,-64.807,296.047,144.368,-2.170,-0.040
-2.530,-36.030,15.547,1.358,-0.197,0.925,    ,848.715,-64.807,296.047,143.436,-2.170,-0.004
-1.363,-36.687,15.184,1.462,-0.185,0.988,    ,848.715,-64.807,296.047,142.521,-2.170,0.030
-0.559,-37.510,17.087,1.293,-0.226,1.106,    ,848.715,-64.808,296.047,142.038,-2.170,0.049
-1.873,-38.138,15.233,1.457,-0.246,1.015,    ,848.715,-64.808,296.048,141.140,-2.169,0.083
-1.657,-39.433,13.939,1.459,-0.295,1.186,    ,848.715,-64.808,296.048,140.208,-2.167,0.118
-1.795,-40.070,13.135,1.656,-0.270,1.067,    ,848.715,-64.808,296.048,139.277,-2.165,0.153
-1.030,-40.531,13.605,1.698,-0.220,1.170,    ,848.715,-64.808,296.048,138.362,-2.162,0.188
-1.559,-41.541,13.448,1.746,-0.257,1.064,    ,848.716,-64.808,296.048,137.430,-2.159,0.223
-1.089,-41.296,11.820,1.761,-0.377,1.159,    ,848.716,-64.808,296.048,136.482,-2.155,0.258
-1.285,-42.541,10.104,1.862,-0.343,1.256,    ,848.716,-64.808,296.048,135.999,-2.153,0.277
-0.667,-43.846,10.114,1.973,-0.434,1.312,    ,848.716,-64.808,296.048,135.084,-2.148,0.311
-1.363,-43.326,10.683,1.938,-0.341,1.263,    ,848.716,-64.808,296.048,134.169,-2.143,0.345
-1.157,-44.846,9.712,2.084,-0.413,1.274,    ,848.716,-64.809,296.048,133.254,-2.137,0.379
-1.383,-45.150,8.506,2.191,-0.495,1.373,    ,848.716,-64.809,296.049,132.306,-2.130,0.415
-1.657,-46.003,7.466,2.244,-0.476,1.253,    ,848.716,-64.809,296.049,131.374,-2.123,0.449
-1.432,-46.699,7.074,2.418,-0.400,1.325,    ,848.716,-64.809,296.049,130.526,-2.116,0.481
-1.500,-47.199,7.584,2.362,-0.464,1.325,    ,848.716,-64.809,296.049,129.694,-2.109,0.511
-0.932,-47.229,5.819,2.525,-0.504,1.384,    ,848.716,-64.809,296.049,128.763,-2.101,0.545
-0.804,-48.347,3.191,2.654,-0.568,1.457,    ,848.716,-64.809,296.049,127.831,-2.091,0.580
-1.716,-48.268,3.014,2.548,-0.622,1.366,    ,848.716,-64.809,296.049,126.899,-2.082,0.614
-1.638,-49.122,3.642,2.676,-0.632,1.461,    ,848.716,-64.809,296.049,125.985,-2.072,0.647
-1.853,-50.004,2.632,2.807,-0.614,1.365,    ,848.717,-64.809,296.049,125.136,-2.062,0.677
-1.314,-50.141,1.906,2.967,-0.630,1.513,    ,848.717,-64.809,296.050,124.687,-2.057,0.693
-0.814,-50.926,0.288,2.997,-0.659,1.544,    ,848.717,-64.809,296.050,123.373,-2.040,0.740
0.020,-51.760,-0.281,3.093,-0.635,1.508,    ,848.717,-64.809,296.050,122.641,-2.031,0.766
-2.197,-51.397,-1.517,3.077,-0.659,1.516,    ,848.717,-64.809,296.050,121.726,-2.018,0.799
-0.588,-52.132,-1.723,3.213,-0.619,1.602,    ,848.717,-64.810,296.050,121.260,-2.012,0.815
-0.029,-52.917,-1.634,3.282,-0.813,1.613,    ,848.717,-64.810,296.050,120.312,-1.998,0.848
-0.608,-52.505,-4.145,3.310,-0.837,1.617,    ,848.717,-64.810,296.050,119.414,-1.984,0.880
-0.618,-52.691,-5.273,3.494,-0.786,1.666,    ,848.717,-64.810,296.051,118.516,-1.970,0.910
-1.726,-53.760,-5.802,3.547,-0.840,1.531,    ,848.717,-64.810,296.051,117.551,-1.955,0.944
-1.765,-53.917,-5.410,3.513,-0.961,1.444,    ,848.717,-64.810,296.051,116.736,-1.941,0.971
-1.344,-54.633,-5.939,3.668,-0.885,1.596,    ,848.717,-64.810,296.051,115.821,-1.925,1.002
-0.951,-53.642,-9.078,3.805,-0.812,1.637,    ,848.717,-64.810,296.051,114.873,-1.908,1.034
-1.569,-55.565,-8.695,3.700,-0.958,1.575,    ,848.717,-64.810,296.051,113.959,-1.892,1.064
-1.883,-55.506,-9.578,3.856,-1.047,1.486,    ,848.718,-64.810,296.051,113.127,-1.876,1.092
-0.373,-56.369,-9.244,3.896,-0.940,1.642,    ,848.717,-64.810,296.051,112.179,-1.858,1.122
-0.677,-56.849,-9.754,3.983,-0.939,1.627,    ,848.718,-64.810,296.052,111.697,-1.848,1.138
-0.598,-56.339,-11.010,4.197,-1.042,1.622,    ,848.718,-64.810,296.052,110.350,-1.821,1.181
-0.892,-56.673,-11.608,4.149,-1.006,1.698,    ,848.718,-64.810,296.052,109.967,-1.813,1.193
-0.608,-57.418,-14.197,4.185,-1.006,1.710,    ,848.718,-64.810,296.052,109.036,-1.793,1.223
-1.157,-56.977,-16.511,4.396,-1.071,1.588,    ,848.718,-64.810,296.052,108.105,-1.773,1.252
-0.853,-58.536,-14.746,4.389,-1.023,1.693,    ,848.718,-64.810,296.052,107.207,-1.754,1.279
-1.510,-56.967,-16.648,4.465,-1.129,1.645,    ,848.718,-64.810,296.053,106.292,-1.733,1.307
-0.598,-58.487,-16.609,4.506,-1.070,1.700,    ,848.718,-64.810,296.053,105.444,-1.713,1.333
-0.883,-58.467,-18.767,4.562,-1.127,1.690,    ,848.718,-64.810,296.053,104.513,-1.692,1.360
-0.049,-59.075,-20.757,4.855,-1.172,1.718,    ,848.718,-64.810,296.053,103.682,-1.672,1.385
-0.147,-58.163,-21.052,4.794,-1.107,1.693,    ,848.718,-64.810,296.053,102.850,-1.651,1.409
-0.618,-59.154,-21.699,4.815,-1.292,1.803,    ,848.718,-64.810,296.053,102.019,-1.631,1.433
-1.697,-57.859,-22.277,4.928,-1.335,1.645,    ,848.718,-64.810,296.053,101.155,-1.609,1.457
-1.167,-59.036,-22.209,5.042,-1.271,1.619,    ,848.718,-64.810,296.054,100.240,-1.586,1.482
-0.314,-59.360,-23.680,5.134,-1.289,1.814,    ,848.718,-64.810,296.054,99.409,-1.564,1.505
0.333,-60.183,-25.729,5.232,-1.208,1.897,    ,848.718,-64.810,296.054,98.511,-1.540,1.530
0.216,-60.536,-27.583,5.285,-1.397,2.005,    ,848.718,-64.810,296.054,97.580,-1.515,1.554
-0.539,-59.928,-27.573,5.334,-1.466,1.850,    ,848.718,-64.810,296.054,96.649,-1.490,1.579
-0.677,-59.370,-27.396,5.377,-1.298,1.629,    ,848.719,-64.810,296.054,95.801,-1.466,1.601
-0.657,-59.860,-28.181,5.441,-1.341,1.612,    ,848.719,-64.810,296.055,94.937,-1.442,1.623
-1.265,-59.183,-29.387,5.432,-1.395,1.712,    ,848.719,-64.810,296.055,93.989,-1.415,1.646
-0.628,-60.291,-29.956,5.513,-1.444,1.856,    ,848.719,-64.810,296.055,93.524,-1.401,1.658
-0.569,-60.203,-31.878,5.630,-1.493,1.824,    ,848.719,-64.810,296.055,92.610,-1.375,1.680
-0.981,-60.154,-33.143,5.596,-1.568,1.871,    ,848.719,-64.810,296.055,91.679,-1.347,1.702
0.059,-59.438,-33.869,5.729,-1.507,1.814,    ,848.719,-64.810,296.055,90.764,-1.320,1.723
-0.226,-60.409,-33.565,5.686,-1.574,1.907,    ,848.719,-64.809,296.056,89.859,-1.293,1.744
-0.343,-60.056,-33.879,5.766,-1.574,1.794,    ,848.721,-64.802,296.056,89.411,-1.279,1.755
-0.216,-59.870,-33.869,5.749,-1.547,1.800,    ,848.721,-64.802,296.056,89.410,-1.279,1.755
-0.088,-60.066,-33.820,5.745,-1.541,1.808,    ,848.721,-64.802,296.056,89.410,-1.279,1.755
-0.078,-59.742,-33.849,5.748,-1.553,1.799,    ,848.721,-64.802,296.056,89.410,-1.279,1.755
-0.275,-59.830,-34.320,5.742,-1.542,1.810,    ,848.721,-64.802,296.056,89.410,-1.279,1.755
-0.157,-60.007,-33.624,5.744,-1.548,1.808,    ,848.721,-64.802,296.056,89.410,-1.279,1.755
-0.186,-59.938,-33.702,5.745,-1.560,1.799,    ,848.721,-64.802,296.056,89.410,-1.279,1.755
-0.196,-59.801,-33.575,5.740,-1.538,1.799,    ,848.721,-64.802,296.056,89.410,-1.279,1.755
